TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
6374,Pittosporum undulatum :: Victorian Box,1159X Broderick St,Sidewalk: Curb side : Cutout,17,4X4,37.78108806,-122.440914
29075,Fraxinus oxycarpa 'Raywood' :: Raywood Ash,1146 Turk St,Sidewalk: Curb side : Cutout,3,3x3,37.78107776,-122.4280148
16776,Olea europaea :: Olive Tree,1903 O'Farrell St,Sidewalk: Curb side : Cutout,6,3X3,37.78107775,-122.4469187
16781,Metrosideros excelsa :: New Zealand Xmas Tree,1941 O'Farrell St,Sidewalk: Curb side : Cutout,6,4X4,37.78107397,-122.4469478
16782,Metrosideros excelsa :: New Zealand Xmas Tree,1953 O'Farrell St,Sidewalk: Curb side : Cutout,6,4X4,37.78107279,-122.4469569
16784,Metrosideros excelsa :: New Zealand Xmas Tree,1961 O'Farrell St,Sidewalk: Curb side : Cutout,6,4X4,37.78107208,-122.4469624
5260,Platanus x hispanica :: Sycamore: London Plane,1233 Divisadero St,Sidewalk: Curb side : Cutout,3,3x3,37.78106891,-122.4392232
1544,Lophostemon confertus :: Brisbane Box,501 Arguello Blvd,Sidewalk: Curb side : Cutout,60,3x3,37.78106765,-122.4589755
19278,Metrosideros excelsa :: New Zealand Xmas Tree,2025X O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78106571,-122.4470115
16795,Metrosideros excelsa :: New Zealand Xmas Tree,2049 O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78106335,-122.4470296
16801,Corymbia ficifolia :: Red Flowering Gum,2057X O'Farrell St,Sidewalk: Curb side : Cutout,24,4X4,37.78106264,-122.4470351
16811,Lophostemon confertus :: Brisbane Box,2097X O'Farrell St,Sidewalk: Curb side : Cutout,12,4X4,37.78105862,-122.447066
13905,Platanus x hispanica :: Sycamore: London Plane,1063 Market St,Sidewalk: Curb side : Cutout,30,4x4,37.78105764,-122.4116041
8855,Metrosideros excelsa :: New Zealand Xmas Tree,4100 Geary Blvd,Median : Cutout,40,M6,37.78105739,-122.4634256
8901,Metrosideros excelsa :: New Zealand Xmas Tree,4420 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78105148,-122.466944
23794,Ficus retusa nitida :: Banyan Fig,1125 Webster St,Sidewalk: Curb side : Cutout,35,3X3,37.78104337,-122.4306554
8906,Metrosideros excelsa :: New Zealand Xmas Tree,4442 Geary Blvd,Sidewalk: Curb side : Cutout,3,2X2,37.78103606,-122.4671033
95177,Platanus x hispanica :: Sycamore: London Plane,1227 Divisadero St,Sidewalk: Curb side : Cutout,3,3x3,37.78103561,-122.439121
85854,Ulmus parvifolia :: Chinese Elm,858 Folsom St,Sidewalk: Curb side : Cutout,3,3x3,37.78103329,-122.4025832
22620,Melaleuca quinquenervia :: Cajeput,1115 Turk St,Sidewalk: Curb side : Cutout,14,3X3,37.78103153,-122.4275037
8910,Tristaniopsis laurina :: Swamp Myrtle,4450 Geary Blvd,Sidewalk: Curb side : Cutout,3,3X3,37.78103092,-122.4673293
85701,Magnolia grandiflora :: Southern Magnolia,926 Howard St,Sidewalk: Curb side : Cutout,3,3x3,37.78102637,-122.4056953
19529,Tristaniopsis laurina :: Swamp Myrtle,141 Saint Joseph's Ave,Sidewalk: Curb side : Cutout,6,4X4,37.78102377,-122.4417919
22619,Schinus terebinthifolius :: Brazilian Pepper,1107 Turk St,Sidewalk: Curb side : Cutout,25,3X3,37.78101829,-122.4275322
6356,Schinus terebinthifolius :: Brazilian Pepper,1234X Divisadero St,Sidewalk: Curb side : Cutout,24,3X3,37.78101152,-122.4388896
8876,Metrosideros excelsa :: New Zealand Xmas Tree,4200 Geary Blvd,Median : Cutout,12,M6,37.78100952,-122.4644971
102422,Washingtonia filifera :: California Fan Palm,99 06th St,Sidewalk: Curb side : Cutout,16,4x4,37.78100417,-122.4086769
8897,Callistemon citrinus :: Lemon Bottlebrush,4400 Geary Blvd,Median : Cutout,3,M6,37.78099662,-122.4664075
23205,Platanus x hispanica :: Sycamore: London Plane,595X Van Ness Ave,Sidewalk: Curb side : Cutout,10,3X3,37.78099213,-122.4205514
22623,Melaleuca spp :: Melaleuca spp,1123 Turk St,Sidewalk: Curb side : Cutout,12,3X3,37.78096633,-122.4275789
